index,address_1,address_2,name,expiration_date
221,FLORIAŃSKA,3.0,RAMIR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2029-08-31
222,FLORIAŃSKA,9.0,REST - KRAK GASTROX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2027-06-05
223,FLORIAŃSKA,11.0,VIDOJU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2027-01-31
224,FLORIAŃSKA,13.0,VIVA LA PINTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-12-31
225,FLORIAŃSKA,14.0,HOLDING LIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-03-18
226,FLORIAŃSKA,15.0,PM MANAGEMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2023-09-04
227,FLORIAŃSKA,15.0,"DWORZAŃSKI PIOTR, KOZIELSKI WOJCIECH",2029-06-12
228,FLORIAŃSKA,16.0,GARYCKI PAWEŁ,2028-02-09
229,FLORIAŃSKA,18.0,DELTA PRO 2ART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2029-12-16
230,FLORIAŃSKA,20.0,STAROPOLSKIE TRUNKI REGIONALNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2023-04-10
231,FLORIAŃSKA,20.0,WĄSIK-DOUSA JOANNA,2027-12-18
232,FLORIAŃSKA,21.0,POLSKIE PIEROGI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-10-06
233,FLORIAŃSKA,21.0,POLSKIE PIEROGI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2028-01-23
234,FLORIAŃSKA,24.0,PRO EXPLOR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2027-02-24
235,FLORIAŃSKA,24.0,ZEERA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-11-30
